,network,station,longitude,latitude,start_date,end_date,sid,x,y,flag
533,NP,1695,-122.02483,37.40161,1993-10-01T18:00:00.000000Z,2019-04-12T18:00:00.000000Z,NP.1695,95753.96257838455,52417.41411033242,True
534,NP,1696,-121.75803,37.39631,2008-09-25T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1696,110015.04787507243,33571.20294647274,True
535,NP,1699,-122.152,37.319,1991-01-10T18:00:00.000000Z,2001-05-29T18:00:00.000000Z,NP.1699,96597.80939438917,66919.25778320509,True
536,NP,1720,-122.0848,37.2991,1991-04-17T18:00:00.000000Z,2005-07-19T18:00:00.000000Z,NP.1720,101875.99736454817,63381.74812898304,True
537,NP,1721,-122.44347,37.80449,1991-05-22T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1721,37853.1346862673,56148.08310740273,True
538,NP,1722,-122.36597,37.97862,1999-12-18T18:00:00.000000Z,2001-08-08T18:00:00.000000Z,NP.1722,26222.376946152915,39272.67003815841,True
540,NP,1723,-122.2225,37.8841,1999-12-18T18:00:00.000000Z,2000-06-15T18:00:00.000000Z,NP.1723,42119.45665663318,35215.02331425412,True
541,NP,1726,-122.261,37.563,1990-05-01T18:00:00.000000Z,1996-11-07T18:00:00.000000Z,NP.1726,69000.81061521727,58862.79892645043,True
542,NP,1729,-122.3986,37.6745,1999-12-15T18:00:00.000000Z,2000-06-21T18:00:00.000000Z,NP.1729,51849.84354461565,61430.95321567991,True
543,NP,1730,-122.1193,37.7242,1999-12-18T18:00:00.000000Z,2000-06-15T18:00:00.000000Z,NP.1730,61828.768010446205,38244.22013138921,True
544,NP,1731,-121.8873,37.5404,1999-12-15T18:00:00.000000Z,2000-06-21T18:00:00.000000Z,NP.1731,90352.35808830376,33544.40680277768,True
545,NP,1732,-122.01,37.645,1999-05-17T18:00:00.000000Z,2000-06-15T18:00:00.000000Z,NP.1732,74598.61793321662,35564.38687977944,True
546,NP,1734,-122.25977,37.35447,1999-12-22T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1734,87810.24866366068,72350.39254454273,True
547,NP,1735,-122.40994,37.7804,1994-07-27T18:00:00.000000Z,1995-05-18T18:00:00.000000Z,NP.1735,41752.47744162983,55331.14531569918,True
549,NP,1736,-122.2,37.34,1995-01-18T18:00:00.000000Z,2002-01-11T18:00:00.000000Z,NP.1736,92216.48593159326,69001.57694594009,True
550,NP,1737,-122.29954,37.93378,1994-08-19T18:00:00.000000Z,2010-10-19T18:00:00.000000Z,NP.1737,33679.293710325524,37468.56866990774,True
552,NP,1738,-122.1672,37.4546,1995-06-01T18:00:00.000000Z,1999-04-27T18:00:00.000000Z,NP.1738,83610.37404879027,59195.37251445112,True
553,NP,1739,-122.0066,37.59997,1995-01-26T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1739,78830.20079135682,38241.53527433896,True
554,NP,1740,-122.408,37.803,1996-02-08T18:00:00.000000Z,2001-06-11T18:00:00.000000Z,NP.1740,39823.48081969019,53718.42430685503,True
555,NP,1741,-122.44317,37.80343,1996-02-08T18:00:00.000000Z,2019-04-22T18:00:00.000000Z,NP.1741,37963.83263109682,56195.90557042806,True
556,NP,1742,-121.90468,37.34971,1996-03-06T18:00:00.000000Z,2007-01-04T18:00:00.000000Z,NP.1742,106645.88782202426,47142.400498516654,True
557,NP,1745,-122.17028,37.45697,1998-03-06T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1745,83237.53675023526,59262.16581514536,True
558,NP,1749,-122.4165,37.94993,1999-12-16T18:00:00.000000Z,2014-05-02T18:00:00.000000Z,NP.1749,26189.889045265685,44736.960111852444,True
559,NP,1750,-122.09093,37.55307,1999-12-16T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1750,78697.42333788938,47329.130793402284,True
560,NP,1751,-122.53915,38.06671,1999-12-14T18:00:00.000000Z,2013-02-21T18:00:00.000000Z,NP.1751,9370.733099670477,45820.37387572645,True
561,NP,1752,-122.30787,37.46782,1999-11-15T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1752,75124.06844786464,68416.9119322513,True
562,NP,1753,-122.24851,37.55957,2000-01-13T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1753,69956.41426123264,58192.21442328126,True
563,NP,1754,-122.08119,37.67191,2000-02-02T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1754,68502.36097319149,38914.627397993,True
564,NP,1755,-122.24377,37.76265,2000-03-17T18:00:00.000000Z,2017-09-22T18:00:00.000000Z,NP.1755,51942.71855123724,44635.458007567606,True
566,NP,1756,-122.2526,37.73774,2000-04-13T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1756,53726.04973095464,46887.20398646078,True
567,NP,1757,-121.92539,37.54316,2000-10-24T18:00:00.000000Z,2012-04-19T18:00:00.000000Z,NP.1757,88139.17959798747,36099.7936957668,True
568,NP,1759,-122.25623,38.10767,2000-08-10T18:00:00.000000Z,2003-09-27T18:00:00.000000Z,NP.1759,20278.104053004805,23065.554917134712,True
570,NP,1760,-122.15743,38.05415,2000-08-08T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1760,30172.05355745649,19522.397559062374,True
571,NP,1762,-122.56564,38.09755,2000-06-29T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1762,5235.382637455128,45682.31283382323,True
572,NP,1770,-122.415237,37.760208,2000-06-13T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1770,43291.27886033894,57026.15499096165,True
573,NP,1771,-122.396889,37.777367,2000-06-28T18:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1771,42700.60910051175,54598.77814429061,True
574,NP,1772,-122.490715,37.750942,2000-06-07T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1772,40210.83353210431,63010.473031207424,True
575,NP,1773,-122.473602,37.763863,2000-08-28T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1773,39938.596486498645,60947.22397889335,True
576,NP,1774,-122.504471,37.761463,2000-06-07T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1774,38553.26669782849,63303.217740222666,True
577,NP,1775,-122.094604,37.407013,2000-06-08T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1775,91654.31966638991,57078.14854315653,True
578,NP,1776,-122.239235,37.474827,2000-06-06T00:00:00.000000Z,3000-01-01T00:00:00.000000Z,NP.1776,78056.30081861805,63043.58605833952,True
579,NP,1777,-122.30471,37.541874,2000-06-06T00:00:00.000000Z,2010-08-10T23:59:00.000000Z,NP.1777,68633.34971637501,63366.4247010748,True
